종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"066310","큐에스아이","KOSDAQ","벤처기업부","4500","-30","-0.66","4605","4605","4450","12442","56098175","37252035000","8278230"
"136660","큐엠씨","KONEX","일반기업부","5790","0","0.00","5790","5790","5790","2173","12581670","54679602000","9443800"
"016600","큐캐피탈","KOSDAQ","벤처기업부","621","8","1.31","619","625","612","191605","118306133","86938957962","139998322"
"264900","크라운제과","KOSPI",,"9300","-280","-2.92","9440","9630","9300","9894","93272390","116471805000","12523850"
"26490K","크라운제과우","KOSPI",,"7600","140","1.88","7460","7690","7460","550","4144580","5879056000","773560"
"005740","크라운해태홀딩스","KOSPI",,"11300","200","1.80","11150","11300","11100","5775","64665250","167775021100","14847347"
"005745","크라운해태홀딩스우","KOSPI",,"11600","0","0.00","11600","11600","11350","3080","35248950","6968421600","600726"
"215570","크로넥스","KONEX","일반기업부","8500","-1500","-15.00","10000","10000","8500","1840","15829110","8606250000","1012500"
"043590","크로바하이텍","KOSDAQ","중견기업부","1955","65","3.44","1890","2000","1890","2167398","4212641605","45551500000","23300000"
"114120","크루셜텍","KOSDAQ","중견기업부","952","34","3.70","925","987","922","2104473","2021965535","43571033184","45767892"
"110790","크리스에프앤씨","KOSDAQ","중견기업부","25150","1500","6.34","23750","26100","23150","72257","1804898050","294644322000","11715480"
"083790","크리스탈","KOSDAQ","기술성장기업부","17300","-50","-0.29","17700","17800","17300","299313","5245230850","698884258200","40397934"
"900250","크리스탈신소재","KOSDAQ","외국기업(소속부없음)","1035","30","2.99","1000","1045","1000","622671","641927445","70156286820","67783852"
"045520","크린앤사이언스","KOSDAQ","중견기업부","12800","350","2.81","12450","12800","12450","49516","628918600","83200000000","6500000"
"214150","클래시스","KOSDAQ","벤처기업부","4085","95","2.38","4240","4240","3990","19069","77179215","253160019545","61973077"
"237880","클리오","KOSDAQ","우량기업부","14450","-100","-0.69","14500","14800","14150","120973","1749762950","245186082750","16967895"
"020120","키다리스튜디오","KOSPI",,"2245","10","0.45","2250","2325","2210","34527","77324470","35544072505","15832549"
"311270","키움제5호스팩","KOSDAQ","SPAC(소속부없음)","2010","0","0.00","2010","2010","2005","40151","80671200","7236000000","3600000"
"039490","키움증권","KOSPI",,"78200","1200","1.56","77700","78700","77300","68074","5313403100","1728199668000","22099740"
"012170","키위미디어그룹","KOSPI",,"410","2","0.49","411","418","400","594434","243941974","80886706500","197284650"
"054780","키이스트","KOSDAQ","중견기업부","2640","15","0.57","2650","2690","2625","1175290","3118977670","224863650000","85175625"
"219130","타이거일렉","KOSDAQ","중견기업부","4080","20","0.49","4060","4115","3910","10024","40586880","25762303200","6314290"
