종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"036010","아비코전자","KOSDAQ","우량기업부","7560","-140","-1.82","7670","7680","7450","70876","535357300","100494581040","13292934"
"002030","아세아","KOSPI",,"124500","5500","4.62","119000","125500","119000","5660","690956000","272782488000","2191024"
"183190","아세아시멘트","KOSPI",,"101000","1200","1.20","101000","104500","99500","15858","1611290100","393476709000","3895809"
"002310","아세아제지","KOSPI",,"31550","-950","-2.92","32850","32850","31350","23734","761485300","282577638100","8956502"
"050860","아세아텍","KOSDAQ","우량기업부","3265","-45","-1.36","3300","3335","3235","68561","224340885","57137500000","17500000"
"246720","아스타","KOSDAQ","기술성장기업부","14500","-150","-1.02","14950","15000","14500","31251","459961050","136336583500","9402523"
"067390","아스트","KOSDAQ","기술성장기업부","17700","-250","-1.39","18050","18200","17650","70694","1262758750","273763545900","15466867"
"127710","아시아경제","KOSDAQ","중견기업부","2620","-20","-0.76","2650","2660","2600","119849","315008370","66139358600","25244030"
"020560","아시아나항공","KOSPI",,"4920","155","3.25","4935","5070","4850","3013850","14942908715","1009757646480","205235294"
"154030","아시아종묘","KOSDAQ","기술성장기업부","4175","-45","-1.07","4220","4265","4145","87276","364023910","38474875325","9215539"
"227610","아우딘퓨쳐스","KOSDAQ","중견기업부","15900","1350","9.28","15050","16300","15000","1154822","18146017600","159000000000","10000000"
"143160","아이디스","KOSDAQ","우량기업부","7190","-20","-0.28","7220","7220","7130","1367","9799220","77050844100","10716390"
"054800","아이디스홀딩스","KOSDAQ","벤처기업부","15650","-200","-1.26","15700","15700","15650","1889","29651400","161942381400","10347756"
"060570","아이리버","KOSDAQ","중견기업부","8150","320","4.09","7830","8160","7800","455736","3644140520","387521024800","47548592"
"122900","아이마켓코리아","KOSPI",,"10050","50","0.50","9950","10100","9950","23734","237491160","361230567000","35943340"
"099190","아이센스","KOSDAQ","우량기업부","28200","-350","-1.23","28600","28950","28150","36881","1050219350","387305511600","13734238"
"214430","아이쓰리시스템","KOSDAQ","벤처기업부","24050","-250","-1.03","24400","24400","23650","20491","489579250","164873813000","6855460"
"040910","아이씨디","KOSDAQ","중견기업부","9370","-310","-3.20","9650","9700","9270","229389","2159227750","155977676890","16646497"
"068940","아이씨케이","KOSDAQ","중견기업부","1910","10","0.53","1920","1935","1840","373415","703560175","59553269020","31179722"
"052860","아이앤씨","KOSDAQ","벤처기업부","5920","0","0.00","5900","5920","5820","46289","271750150","90959225280","15364734"
"010780","아이에스동서","KOSPI",,"30650","-350","-1.13","31000","31400","30300","41816","1286992850","944872407150","30827811"
"069920","아이에스이커머스","KOSDAQ","중견기업부","3390","-15","-0.44","3435","3435","3300","9202","30846425","86492775270","25514093"
"038880","아이에이","KOSDAQ","벤처기업부","3800","-55","-1.43","3850","3880","3795","201330","770216675","156894628000","41288060"
"079440","아이엔지생명","KOSPI",,"44500","-150","-0.34","44650","45300","44150","52959","2368682100","3649000000000","82000000"
"101390","아이엠","KOSDAQ","중견기업부","2940","-15","-0.51","2960","2990","2940","67300","198855310","66361706460","22572009"
"226350","아이엠텍","KOSDAQ","벤처기업부","3070","75","2.50","2995","3120","2995","186724","573925090","62623474820","20398526"
"078860","아이오케이","KOSDAQ","중견기업부","427","-8","-1.84","443","443","424","430878","186357358","56735519890","132870070"
"114810","아이원스","KOSDAQ","우량기업부","12200","-400","-3.17","12550","12550","12150","58295","715926050","163674211800","13415919"
"031310","아이즈비전","KOSDAQ","중견기업부","3505","5","0.14","3500","3535","3465","85783","299419120","55282871870","15772574"
"185490","아이진","KOSDAQ","기술성장기업부","25200","2800","12.50","23200","25250","23100","1102615","26687031050","276440018400","10969842"
"059100","아이컴포넌트","KOSDAQ","벤처기업부","6720","80","1.20","6630","6730","6610","34201","228007820","47516179200","7070860"
"149010","아이케이세미콘","KONEX","일반기업부","8850","250","2.91","8850","8850","8850","1","8850","27612000000","3120000"
"039570","아이콘트롤스","KOSPI",,"12800","-200","-1.54","13000","13100","12700","6839","87945000","210688000000","16460000"
"052460","아이크래프트","KOSDAQ","벤처기업부","6180","300","5.10","6100","6370","6010","75989","463788750","49773522240","8053968"
"119830","아이텍반도체","KOSDAQ","중견기업부","5220","70","1.36","5160","5250","5150","27880","144885440","27757590120","5317546"
"124500","아이티센","KOSDAQ","중견기업부","4620","55","1.20","4565","4620","4540","77737","357837480","71979516840","15579982"
"033660","아주캐피탈","KOSPI",,"7320","20","0.27","7300","7390","7230","32444","237138140","421235914800","57545890"
"032080","아즈텍WB","KOSDAQ","우량기업부","2080","-15","-0.72","2100","2120","2060","90634","188620285","43506702720","20916684"
"013310","아진산업","KOSDAQ","우량기업부","3770","-30","-0.79","3865","3875","3750","130655","496478480","49844666690","13221397"
"059120","아진엑스텍","KOSDAQ","벤처기업부","15600","-250","-1.58","15800","15850","15350","140378","2187437300","106169871600","6805761"
"023890","아트라스BX","KOSDAQ","우량기업부","47250","0","0.00","47300","47450","47050","498","23488000","432337500000","9150000"
"101140","아티스","KOSPI",,"3245","280","9.44","3050","3250","3010","1099355","3482778085","76715729695","23641211"
"067160","아프리카TV","KOSDAQ","우량기업부","29500","750","2.61","28750","30250","28750","386132","11448102650","333499476500","11305067"
"001540","안국약품","KOSDAQ","우량기업부","16250","-150","-0.91","16450","16700","16100","30360","495033700","211939325000","13042420"
"053800","안랩","KOSDAQ","우량기업부","80600","-4800","-5.62","87100","88200","78500","1068098","89718250300","807116713000","10013855"
"251280","안지오랩","KONEX","일반기업부","10000","-1150","-10.31","12000","12000","10000","4001","40085700","18059140000","1805914"
"065660","안트로젠","KOSDAQ","기술성장기업부","107900","7900","7.90","101400","108700","101000","180512","19010936600","858196784900","7953631"
"271400","알로이스","KONEX","일반기업부","1675","0","0.00","0","0","0","0","0","3906100000","2332000"
"001780","알루코","KOSPI",,"3845","-40","-1.03","3885","3930","3765","184284","710634850","286545172190","74524102"
"260660","알리코제약","KOSDAQ","중견기업부","21800","-450","-2.02","22250","22700","21200","493094","10793325000","209183535000","9595575"
"002250","알보젠코리아","KOSPI",,"28100","0","0.00","28100","28100","27950","275","7701950","333207608200","11857922"
"106080","알비케이이엠디","KOSDAQ","중견기업부","568","4","0.71","563","575","552","399434","225467943","47459005416","83554587"
"131370","알서포트","KOSDAQ","벤처기업부","2480","15","0.61","2500","2525","2450","383062","950649650","132102365840","53267083"
"140670","알에스오토메이션","KOSDAQ","벤처기업부","21100","-50","-0.24","21450","21650","21050","81593","1730008350","192076254000","9103140"
"096610","알에프세미","KOSDAQ","중견기업부","5020","-10","-0.20","4985","5050","4965","13915","69396890","40767269400","8120970"
"061040","알에프텍","KOSDAQ","우량기업부","4430","-110","-2.42","4540","4540","4390","90725","403104580","84391500000","19050000"
"148250","알엔투테크놀로지","KOSDAQ","기술성장기업부","9880","-110","-1.10","10000","10100","9820","22009","218088420","62529946960","6328942"
"196170","알테오젠","KOSDAQ","기술성장기업부","24150","-1150","-4.55","25300","25400","23800","435091","10576749950","304539469500","12610330"
"123750","알톤스포츠","KOSDAQ","중견기업부","3400","60","1.80","3345","3430","3340","14355","48547595","43337409800","12746297"
"085810","알티캐스트","KOSDAQ","우량기업부","4240","-50","-1.17","4290","4315","4155","62305","262802215","89986198400","21223160"
"117670","알파홀딩스","KOSDAQ","투자주의환기종목(소속부없음)","17600","-2550","-12.66","20450","20450","16150","2155597","38601904550","231342144000","13144440"
"267810","앙츠","KONEX","일반기업부","15000","0","0.00","0","0","0","0","0","2320500000","154700"
"018250","애경산업","KOSPI",,"38100","4550","13.56","35150","38850","35100","2311448","85510379900","995260963500","26122335"
"161000","애경유화","KOSPI",,"14300","-250","-1.72","14650","14750","14000","243691","3490933750","458172000000","32040000"
"196300","애니젠","KOSDAQ","기술성장기업부","25450","2200","9.46","23300","26450","23000","307513","7767216600","127152399250","4996165"
"205500","액션스퀘어","KOSDAQ","중견기업부","8480","150","1.80","8330","8590","8030","140250","1181170250","223987497600","26413620"
"052790","액토즈소프트","KOSDAQ","중견기업부","19650","-350","-1.75","20350","20450","19450","107100","2119503800","222647036700","11330638"
"131400","액트","KOSDAQ","중견기업부","2160","-10","-0.46","2170","2175","2110","92202","196799815","37512208080","17366763"
"238090","앤디포스","KOSDAQ","벤처기업부","7040","40","0.57","7040","7070","6990","17297","121414800","106085513600","15068965"
"174900","앱클론","KOSDAQ","기술성장기업부","56300","600","1.08","56000","56800","55500","67310","3771709100","382840000000","6800000"
"255440","야스","KOSDAQ","벤처기업부","24450","-450","-1.81","25200","25350","24100","43004","1058533700","316138500000","12930000"
"030960","양지사","KOSDAQ","중견기업부","10700","100","0.94","10750","11000","10550","26192","279939550","170986000000","15980000"
"102120","어보브반도체","KOSDAQ","우량기업부","6100","-40","-0.65","6150","6200","6030","133293","810012100","106503883300","17459653"
"224810","엄지하우스","KONEX","일반기업부","5000","-880","-14.97","5010","5010","5000","5808","29060000","21000000000","4200000"
"019990","에너토크","KOSDAQ","중견기업부","5920","-80","-1.33","6120","6120","5870","377043","2261126450","57756040960","9756088"
"011090","에넥스","KOSPI",,"1785","15","0.85","1775","1815","1770","210677","376017495","107085079185","59991641"
"208890","에듀케이션파트너","KONEX","일반기업부","1900","0","0.00","1845","1900","1845","601","1108900","3782558000","1990820"
"025980","에머슨퍼시픽","KOSDAQ","우량기업부","34050","-750","-2.16","34800","35900","33950","136356","4756532900","560605431150","16464183"
"041440","에버다임","KOSDAQ","우량기업부","8200","-90","-1.09","8260","8290","8110","14855","121842350","146910740800","17915944"
"270660","에브리봇","KONEX","일반기업부","19500","0","0.00","0","0","0","0","0","21905910000","1123380"
"038680","에스넷","KOSDAQ","중견기업부","5700","-40","-0.70","5740","5790","5650","73770","421677330","91628725500","16075215"
"217480","에스디생명공학","KOSDAQ","벤처기업부","19000","900","4.97","18800","19850","18500","1406594","27086682800","422466254000","22235066"
"121890","에스디시스템","KOSDAQ","벤처기업부","2680","-25","-0.92","2735","2765","2680","55254","149668175","16080000000","6000000"
"030270","에스마크","KOSDAQ","관리종목(소속부없음)","431","17","4.11","416","451","415","3393184","1471503682","43083633206","99962026"
"097780","에스맥","KOSDAQ","중견기업부","1320","55","4.35","1280","1335","1250","4749867","6168662420","280215677280","212284604"
"042110","에스씨디","KOSDAQ","우량기업부","1510","-15","-0.98","1520","1520","1500","111911","169219860","72977641640","48329564"
"065420","에스아이리소스","KOSDAQ","중견기업부","758","-35","-4.41","787","802","755","1197531","923998184","40045894210","52830995"
"050320","에스아이티글로벌","KOSDAQ","관리종목(소속부없음)","3220","0","0.00","0","0","0","0","0","40659358600","12627130"
"270210","에스알바이오텍","KONEX","일반기업부","24250","3150","14.93","0","0","0","0","0","11222318000","462776"
"103230","에스앤더블류","KOSDAQ","중견기업부","3440","-10","-0.29","3450","3450","3350","4441","15087745","24768000000","7200000"
"260970","에스앤디","KONEX","일반기업부","68100","8800","14.84","0","0","0","0","0","20678020200","303642"
"900080","에스앤씨엔진그룹","KOSDAQ","외국기업(소속부없음)","854","17","2.03","843","880","837","338440","290602218","98414678180","115239670"
